product_name,brand_name,images,price,product_rating,no. of ratings
"Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Grey)",Visit the Nokia Store,"['https://m.media-amazon.com/images/I/3138cjSU6AL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51eBGXTmMcL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/31yeYe4OrCL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31NU+poDGlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/119v509WRIL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41yYc+8YUxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51l-YZ4FizL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,3.4 out of 5 stars,"3,269 ratings"
"Tecno Spark 8T (Atlantic Blue, 4GB RAM,64GB Storage)| 50MP AI Camera | 7GB Expandable RAM",Visit the Tecno Store,"['https://m.media-amazon.com/images/I/41YE74Smw8L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51qeqlNzapL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/51AJ+2pvSsL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31rMZJP9LcL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41Cyso5zEoL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41ygWemCngL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.1 out of 5 stars,"6,928 ratings"
"Redmi 9A Sport (Carbon Black, 2GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery",Brand: Redmi,"['https://m.media-amazon.com/images/I/41P4Al+S3zL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41cDGuqDcyL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/21rWCUp4l8L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41wliZOiWxL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/518mcnO29GL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.1 out of 5 stars,"317,792 ratings"
"Tecno Pop 5 LTE (Deepsea Luster, 2GB RAM,32GB Storage) | Front Flash | 8MP Dual Camera",Visit the Tecno Store,"['https://m.media-amazon.com/images/I/41XbFqigTJL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41GEj9stMrL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/51Muk-aNRCL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31FavgW2hRL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41GDYCZGjXL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/11py5N7XuPL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/11NJQetaAcL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.1 out of 5 stars,"6,295 ratings"
"Tecno Spark 9 (Sky Mirror, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor",Visit the Tecno Store,"['https://m.media-amazon.com/images/I/41RMaV3eifL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/612rVhmvfgL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/51ZcLQkS+dL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41hEYn-NM0L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31fKitNAr-L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41b2K05-3ML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/11KTiDAzKlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,3.8 out of 5 stars,"3,713 ratings"
"Lava Blaze 5G (Glass Blue, 6GB RAM, UFS 2.2 128GB Storage) | 5G Ready | 50MP AI Triple Camera | Upto 9GB Expandable RAM | Charger Included | Clean Android (No Bloatware)",Visit the Lava Store,"['https://m.media-amazon.com/images/I/41CK1CvkW6L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51iB4Z3PtkL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/41dzMh6o-gL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41xvANmXnCL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41iE35pjbmL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/315clL1+w8L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41+MtvCrAbL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.1 out of 5 stars,"1,464 ratings"
"Tecno Spark 9 (Sky Mirror, 4GB RAM,64GB Storage) | 7GB Expandable RAM | Helio G37 Gaming Processor",Visit the Tecno Store,"['https://m.media-amazon.com/images/I/41RMaV3eifL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/612rVhmvfgL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/51ZcLQkS+dL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41hEYn-NM0L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31fKitNAr-L._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41b2K05-3ML._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/11KTiDAzKlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,3.8 out of 5 stars,"3,713 ratings"
,,[],,,
"OPPO A74 5G (Fantastic Purple,6GB RAM,128GB Storage) with No Cost EMI/Additional Exchange Offers",Visit the Oppo Store,"['https://m.media-amazon.com/images/I/41BnHjRP0ZS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/51l4Ke86grL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg', 'https://m.media-amazon.com/images/I/41yf9+DABzS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31uHJJfKTEL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21xADgFtVhS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41VVkjFTxRS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31FowrydZlL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.2 out of 5 stars,"33,892 ratings"
"OPPO A74 5G (Fluid Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers",Visit the Oppo Store,"['https://m.media-amazon.com/images/I/41iHN9Y07cS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/91Dnlg95cLL.SX38_SY50_CR,0,0,38,50_BG85,85,85_BR-120_PKdp-play-icon-overlay__.png', 'https://m.media-amazon.com/images/I/4107e3zj7RS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/31TbULGehqL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/21rJJ0u7oXS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/41sMpWmp8OS._SX38_SY50_CR,0,0,38,50_.jpg', 'https://m.media-amazon.com/images/I/312kJiJKjVL._SX38_SY50_CR,0,0,38,50_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,4.2 out of 5 stars,"33,892 ratings"
